               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/bishop_mAP,    metrics/King_mAP,    metrics/pawn_mAP,   metrics/Queen_mAP,    metrics/rook_mAP,  metrics/Knight_mAP,metrics/bishop_mAP_50, metrics/King_mAP_50, metrics/pawn_mAP_50,metrics/Queen_mAP_50, metrics/rook_mAP_50,metrics/Knight_mAP_50
                   0,             0.12343,            0.086733,            0.057013,                   0,                   0,                   0,                   0,              0.1114,            0.088787,            0.060502,              0.0991,              0.0001,              0.0001,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   1,             0.12025,            0.074517,            0.057886,           0.0052193,            0.025367,           0.0036392,          0.00040655,             0.10848,            0.092604,            0.060148,            0.097297,          0.00029703,          0.00029703,                   0,                   0,          0.00051157,           0.0019277,                   0,                   0,                   0,                   0,           0.0025579,            0.019277,                   0,                   0
                   2,             0.11662,             0.10312,            0.056716,           0.0036381,            0.025367,           0.0024799,          0.00057428,             0.10358,            0.099057,            0.059411,             0.09549,           0.0004901,           0.0004901,                   0,                   0,          0.00093955,           0.0025061,                   0,                   0,                   0,                   0,           0.0023489,            0.012531,                   0,                   0
                   3,             0.11653,            0.081941,            0.056783,            0.010552,            0.039386,           0.0063772,           0.0024303,              0.0975,             0.10714,            0.058515,            0.093679,          0.00067921,          0.00067921,                   0,                   0,            0.010797,           0.0037844,                   0,                   0,                   0,                   0,            0.025649,            0.012615,                   0,                   0
                   4,              0.1119,            0.082878,            0.056675,            0.014463,            0.062326,           0.0095709,           0.0043753,            0.091296,             0.11525,            0.057313,            0.091864,          0.00086436,          0.00086436,                   0,           0.0011047,             0.01842,            0.006727,                   0,                   0,                   0,           0.0022093,            0.044005,            0.011212,                   0,                   0
                   5,             0.10417,             0.10417,            0.056189,            0.019215,             0.11198,            0.016369,           0.0046411,            0.085403,             0.12147,            0.055922,            0.090046,           0.0010455,           0.0010455,                   0,           0.0040022,            0.013143,            0.010701,                   0,                   0,                   0,             0.01495,            0.050419,            0.032844,                   0,                   0
                   6,              0.1059,             0.11471,            0.054445,            0.013276,            0.087268,            0.015897,           0.0038941,            0.082657,             0.12226,            0.054538,            0.088223,           0.0012228,           0.0012228,                   0,             0.01036,           0.0040721,            0.008932,                   0,                   0,                   0,            0.029398,            0.018995,            0.046987,                   0,                   0
                   7,              0.1007,             0.12016,            0.053263,            0.014383,             0.14518,            0.023585,           0.0073268,            0.077821,             0.12599,            0.052996,            0.086396,            0.001396,            0.001396,                   0,            0.032372,            0.006332,           0.0052566,                   0,                   0,                   0,            0.083055,            0.029266,            0.029186,                   0,                   0
                   8,             0.09544,             0.12365,            0.052814,            0.012538,             0.14207,            0.018706,            0.006157,            0.076257,             0.12549,            0.052313,            0.084565,           0.0015654,           0.0015654,                   0,            0.024272,           0.0068883,           0.0057821,                   0,                   0,                   0,            0.069603,            0.024569,            0.018063,                   0,                   0
                   9,            0.089601,             0.11118,            0.052244,            0.013251,              0.1483,             0.02411,           0.0077026,            0.074113,             0.12462,            0.051782,            0.082731,           0.0017307,           0.0017307,                   0,            0.030967,           0.0084525,           0.0067961,                   0,                   0,                   0,            0.084432,            0.044303,            0.015925,                   0,                   0
