               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/bishop_mAP,    metrics/King_mAP,    metrics/pawn_mAP,   metrics/Queen_mAP,    metrics/rook_mAP,  metrics/Knight_mAP,metrics/bishop_mAP_50, metrics/King_mAP_50, metrics/pawn_mAP_50,metrics/Queen_mAP_50, metrics/rook_mAP_50,metrics/Knight_mAP_50
                   0,            0.030434,             0.05747,             0.03302,             0.98988,             0.46496,             0.69426,              0.4867,            0.023431,            0.050744,             0.02673,              0.0991,              0.0001,              0.0001,             0.67652,             0.64837,             0.78453,             0.10864,             0.18866,              0.5135,             0.99045,               0.995,               0.995,              0.1583,             0.23751,             0.78932
                   1,            0.030916,            0.049386,            0.036011,             0.98875,             0.46272,             0.68914,             0.47143,            0.026008,            0.051962,            0.026569,            0.097298,           0.0002976,           0.0002976,             0.64181,              0.6388,             0.78872,            0.090958,             0.17275,             0.49556,             0.99262,               0.995,               0.995,             0.13441,             0.23997,             0.77785
                   2,            0.029262,            0.059147,            0.033364,             0.98904,             0.46415,             0.68671,             0.48867,            0.023471,            0.050504,            0.026424,            0.095492,            0.000492,            0.000492,             0.67897,             0.63082,             0.80858,            0.088883,             0.18858,             0.53621,               0.995,               0.995,               0.995,             0.12664,             0.23879,             0.76986
                   3,            0.029134,            0.043997,            0.037709,             0.98729,             0.46374,             0.68381,             0.48807,             0.02272,            0.050339,             0.02629,            0.093683,           0.0006832,           0.0006832,             0.74744,             0.58705,             0.74822,            0.095395,             0.17761,             0.57272,               0.995,               0.995,               0.995,             0.11418,             0.22397,              0.7797
                   4,             0.03141,            0.045272,            0.032944,             0.98329,             0.46041,             0.68164,              0.4799,            0.024268,            0.051289,            0.026136,            0.091871,           0.0008712,           0.0008712,             0.69156,             0.65414,             0.75879,            0.082161,             0.15761,             0.53513,               0.995,               0.995,               0.995,              0.1134,             0.21645,             0.77501
                   5,            0.028746,            0.048882,            0.035097,             0.98204,             0.45824,             0.67649,             0.48989,            0.021845,            0.049836,            0.025958,            0.090056,            0.001056,            0.001056,             0.73708,             0.63629,             0.78535,             0.10244,             0.12806,             0.55009,               0.995,               0.995,               0.995,             0.12062,             0.17938,             0.77397
                   6,            0.036472,            0.059584,            0.031521,             0.97612,              0.4688,              0.6763,             0.47013,            0.028746,            0.055795,            0.025922,            0.088238,           0.0012376,           0.0012376,             0.66809,             0.68284,             0.77036,            0.078691,             0.10904,             0.51178,               0.995,               0.995,               0.995,             0.13091,             0.16813,             0.77376
                   7,            0.034568,            0.051816,            0.033686,              0.9804,             0.46916,             0.67475,             0.43876,            0.028579,            0.055712,            0.025693,            0.086416,            0.001416,            0.001416,             0.80752,             0.56981,             0.49464,            0.085859,             0.12229,             0.55244,               0.995,               0.995,               0.995,             0.12902,             0.16545,             0.76901
                   8,            0.037278,            0.061256,            0.033448,             0.96625,             0.47201,             0.67314,             0.47983,            0.024621,            0.051761,             0.02573,            0.084591,           0.0015912,           0.0015912,             0.69891,             0.67644,             0.77921,            0.098476,             0.12064,             0.50531,               0.995,               0.995,               0.995,               0.131,             0.16338,             0.75946
                   9,            0.026481,            0.045759,            0.031531,             0.94505,             0.47159,             0.67756,             0.47017,             0.02682,            0.053089,            0.025623,            0.082763,           0.0017632,           0.0017632,              0.7402,              0.6365,             0.69949,            0.093848,             0.11808,             0.53291,               0.995,               0.995,               0.995,              0.1407,              0.1662,             0.77348
